Skema,Akurasi Training,Akurasi Testing
BiLSTM + GAP,0.9262793064117432,0.8810198307037354
CNN + GMP,0.9632748961448669,0.8797321915626526
BiGRU + GAP,0.9325761795043945,0.8805562853813171
